name,subject,grade,chapter,chapter_number,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords
生命的特征,生物,Grade 7,生命的基础,1,理解生命的特征的基本概念和定义，掌握其特征和性质,2,3,0.7,理解生命的特征的含义和特点,容易混淆生命的特征的定义和分类,通过实例和对比来理解生命的特征,生命的特征|concepts|初中|基础知识
生物的分类,生物,Grade 7,生命的基础,1,理解生物的分类的基本概念和定义，掌握其特征和性质,3,3,0.7,掌握生物的分类的方法和应用,容易混淆生物的分类的定义和分类,通过实例和对比来理解生物的分类,生物的分类|concepts|初中|基础知识
细胞的基本结构,生物,Grade 7,生命的基础,1,理解细胞的基本结构的基本概念和定义，掌握其特征和性质,2,3,0.7,理解细胞的基本结构的含义和特点,容易混淆细胞的基本结构的定义和分类,通过实例和对比来理解细胞的基本结构,细胞的基本结构|concepts|初中|基础知识
细胞的生理功能,生物,Grade 7,生命的基础,1,理解细胞的生理功能的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握细胞的生理功能的方法和应用,容易混淆细胞的生理功能的定义和分类,通过实例和对比来理解细胞的生理功能,细胞的生理功能|concepts|初中|基础知识
新陈代谢,生物,Grade 7,生命的基础,1,理解新陈代谢的基本概念和定义，掌握其特征和性质,2,2,0.6,理解新陈代谢的含义和特点,容易混淆新陈代谢的定义和分类,通过实例和对比来理解新陈代谢,新陈代谢|concepts|初中|基础知识
生长发育,生物,Grade 7,生命的基础,1,理解生长发育的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握生长发育的方法和应用,容易混淆生长发育的定义和分类,通过实例和对比来理解生长发育,生长发育|concepts|初中|基础知识
细胞壁,生物,Grade 7,生命的基础,1,掌握细胞壁的相关知识和技能,2,3,0.5,理解细胞壁的含义和特点,对细胞壁的理解不够准确,多练习，深入理解细胞壁,细胞壁|structures|初中|基础知识
细胞膜,生物,Grade 7,生命的基础,1,掌握细胞膜的相关知识和技能,3,3,0.5,掌握细胞膜的方法和应用,对细胞膜的理解不够准确,多练习，深入理解细胞膜,细胞膜|structures|初中|基础知识
细胞质,生物,Grade 7,生命的基础,1,掌握细胞质的相关知识和技能,2,3,0.5,理解细胞质的含义和特点,对细胞质的理解不够准确,多练习，深入理解细胞质,细胞质|structures|初中|基础知识
细胞核,生物,Grade 7,生命的基础,1,掌握细胞核的相关知识和技能,3,2,0.4,掌握细胞核的方法和应用,对细胞核的理解不够准确,多练习，深入理解细胞核,细胞核|structures|初中|基础知识
细胞器,生物,Grade 7,生命的基础,1,掌握细胞器的相关知识和技能,2,2,0.4,理解细胞器的含义和特点,对细胞器的理解不够准确,多练习，深入理解细胞器,细胞器|structures|初中|基础知识
组织器官系统,生物,Grade 7,生命的基础,1,掌握组织器官系统的相关知识和技能,3,2,0.4,掌握组织器官系统的方法和应用,对组织器官系统的理解不够准确,多练习，深入理解组织器官系统,组织器官系统|structures|初中|基础知识
光合作用,生物,Grade 7,生命的基础,1,掌握光合作用的相关知识和技能,2,3,0.5,理解光合作用的含义和特点,对光合作用的理解不够准确,多练习，深入理解光合作用,光合作用|processes|初中|基础知识
呼吸作用,生物,Grade 7,生命的基础,1,掌握呼吸作用的相关知识和技能,3,3,0.5,掌握呼吸作用的方法和应用,对呼吸作用的理解不够准确,多练习，深入理解呼吸作用,呼吸作用|processes|初中|基础知识
物质运输,生物,Grade 7,生命的基础,1,掌握物质运输的相关知识和技能,2,3,0.5,理解物质运输的含义和特点,对物质运输的理解不够准确,多练习，深入理解物质运输,物质运输|processes|初中|基础知识
