name,subject,grade,chapter,chapter_number,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords
有理数的定义(1),数学,Grade 7,有理数,1,理解有理数的定义的基本概念和定义，掌握其特征和性质,2,3,0.7,理解有理数的定义(1)的含义和特点,容易混淆有理数的定义(1)的定义和分类,通过实例和对比来理解有理数的定义(1),有理数的定义(1)|concepts|初中|基础知识
正数和负数(1),数学,Grade 7,有理数,1,理解正数和负数的基本概念和定义，掌握其特征和性质,3,3,0.7,掌握正数和负数(1)的方法和应用,容易混淆正数和负数(1)的定义和分类,通过实例和对比来理解正数和负数(1),正数和负数(1)|concepts|初中|基础知识
数轴表示(1),数学,Grade 7,有理数,1,理解数轴表示的基本概念和定义，掌握其特征和性质,2,3,0.7,理解数轴表示(1)的含义和特点,容易混淆数轴表示(1)的定义和分类,通过实例和对比来理解数轴表示(1),数轴表示(1)|concepts|初中|基础知识
相反数(1),数学,Grade 7,有理数,1,理解相反数的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握相反数(1)的方法和应用,容易混淆相反数(1)的定义和分类,通过实例和对比来理解相反数(1),相反数(1)|concepts|初中|基础知识
绝对值(1),数学,Grade 7,有理数,1,理解绝对值的基本概念和定义，掌握其特征和性质,2,2,0.6,理解绝对值(1)的含义和特点,容易混淆绝对值(1)的定义和分类,通过实例和对比来理解绝对值(1),绝对值(1)|concepts|初中|基础知识
有理数比较大小(1),数学,Grade 7,有理数,1,理解有理数比较大小的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握有理数比较大小(1)的方法和应用,容易混淆有理数比较大小(1)的定义和分类,通过实例和对比来理解有理数比较大小(1),有理数比较大小(1)|concepts|初中|基础知识
有理数的分类(1),数学,Grade 7,有理数,1,理解有理数的分类的基本概念和定义，掌握其特征和性质,2,2,0.6,理解有理数的分类(1)的含义和特点,容易混淆有理数的分类(1)的定义和分类,通过实例和对比来理解有理数的分类(1),有理数的分类(1)|concepts|初中|基础知识
零的特殊性质(1),数学,Grade 7,有理数,1,理解零的特殊性质的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握零的特殊性质(1)的方法和应用,容易混淆零的特殊性质(1)的定义和分类,通过实例和对比来理解零的特殊性质(1),零的特殊性质(1)|concepts|初中|基础知识
有理数加法法则(1),数学,Grade 7,有理数,1,掌握有理数加法法则的操作方法和步骤，能够熟练运用,3,4,0.9,掌握有理数加法法则(1)的方法和应用,在有理数加法法则(1)的计算过程中容易出错,多做练习，熟练有理数加法法则(1)的操作步骤,有理数加法法则(1)|operations|初中|基础知识
有理数减法法则(1),数学,Grade 7,有理数,1,掌握有理数减法法则的操作方法和步骤，能够熟练运用,4,4,0.9,熟练运用有理数减法法则(1)解决问题,在有理数减法法则(1)的计算过程中容易出错,多做练习，熟练有理数减法法则(1)的操作步骤,有理数减法法则(1)|operations|初中|基础知识
有理数乘法法则(1),数学,Grade 7,有理数,1,掌握有理数乘法法则的操作方法和步骤，能够熟练运用,3,4,0.9,掌握有理数乘法法则(1)的方法和应用,在有理数乘法法则(1)的计算过程中容易出错,多做练习，熟练有理数乘法法则(1)的操作步骤,有理数乘法法则(1)|operations|初中|基础知识
有理数除法法则(1),数学,Grade 7,有理数,1,掌握有理数除法法则的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用有理数除法法则(1)解决问题,在有理数除法法则(1)的计算过程中容易出错,多做练习，熟练有理数除法法则(1)的操作步骤,有理数除法法则(1)|operations|初中|基础知识
有理数乘方运算(1),数学,Grade 7,有理数,1,掌握有理数乘方运算的操作方法和步骤，能够熟练运用,3,3,0.8,掌握有理数乘方运算(1)的方法和应用,在有理数乘方运算(1)的计算过程中容易出错,多做练习，熟练有理数乘方运算(1)的操作步骤,有理数乘方运算(1)|operations|初中|基础知识
有理数混合运算(1),数学,Grade 7,有理数,1,掌握有理数混合运算的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用有理数混合运算(1)解决问题,在有理数混合运算(1)的计算过程中容易出错,多做练习，熟练有理数混合运算(1)的操作步骤,有理数混合运算(1)|operations|初中|基础知识
运算律的应用(1),数学,Grade 7,有理数,1,掌握运算律的应用的操作方法和步骤，能够熟练运用,3,3,0.8,掌握运算律的应用(1)的方法和应用,在运算律的应用(1)的计算过程中容易出错,多做练习，熟练运算律的应用(1)的操作步骤,运算律的应用(1)|operations|初中|基础知识
分配律(1),数学,Grade 7,有理数,1,掌握分配律的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用分配律(1)解决问题,在分配律(1)的计算过程中容易出错,多做练习，熟练分配律(1)的操作步骤,分配律(1)|operations|初中|基础知识
结合律(1),数学,Grade 7,有理数,1,掌握结合律的操作方法和步骤，能够熟练运用,3,3,0.8,掌握结合律(1)的方法和应用,在结合律(1)的计算过程中容易出错,多做练习，熟练结合律(1)的操作步骤,结合律(1)|operations|初中|基础知识
交换律(1),数学,Grade 7,有理数,1,掌握交换律的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用交换律(1)解决问题,在交换律(1)的计算过程中容易出错,多做练习，熟练交换律(1)的操作步骤,交换律(1)|operations|初中|基础知识
温度变化计算(1),数学,Grade 7,有理数,1,能够运用温度变化计算解决实际问题，理解其应用价值,4,5,1.0,熟练运用温度变化计算(1)解决问题,不能正确识别温度变化计算(1)的应用场景,结合实际情况，理解温度变化计算(1)的应用,温度变化计算(1)|applications|初中|基础知识
海拔高度表示(1),数学,Grade 7,有理数,1,能够运用海拔高度表示解决实际问题，理解其应用价值,5,5,1.0,深入理解海拔高度表示(1)并能创新应用,不能正确识别海拔高度表示(1)的应用场景,结合实际情况，理解海拔高度表示(1)的应用,海拔高度表示(1)|applications|初中|基础知识
盈亏问题(1),数学,Grade 7,有理数,1,能够运用盈亏问题解决实际问题，理解其应用价值,4,5,1.0,熟练运用盈亏问题(1)解决问题,不能正确识别盈亏问题(1)的应用场景,结合实际情况，理解盈亏问题(1)的应用,盈亏问题(1)|applications|初中|基础知识
收支平衡计算(1),数学,Grade 7,有理数,1,能够运用收支平衡计算解决实际问题，理解其应用价值,5,4,1.0,深入理解收支平衡计算(1)并能创新应用,不能正确识别收支平衡计算(1)的应用场景,结合实际情况，理解收支平衡计算(1)的应用,收支平衡计算(1)|applications|初中|基础知识
方向和位移(1),数学,Grade 7,有理数,1,能够运用方向和位移解决实际问题，理解其应用价值,4,4,1.0,熟练运用方向和位移(1)解决问题,不能正确识别方向和位移(1)的应用场景,结合实际情况，理解方向和位移(1)的应用,方向和位移(1)|applications|初中|基础知识
