question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
chin_auto_0068,语文,Grade 7,choice,默认题干 (变式14),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,2
chin_auto_0069,语文,Grade 8,choice,默认题干 (变式15),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0070,语文,Grade 9,choice,默认题干 (变式16),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0071,语文,Grade 7,choice,默认题干 (变式17),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0072,语文,Grade 8,choice,默认题干 (变式18),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0073,语文,Grade 9,choice,默认题干 (变式19),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0074,语文,Grade 7,choice,默认题干 (变式20),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0075,语文,Grade 9,choice,默认题干 (变式21),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0076,语文,Grade 8,choice,默认题干 (变式22),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0077,语文,Grade 7,choice,默认题干 (变式23),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
chin_auto_0078,语文,Grade 7,choice,默认题干 (变式24),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0079,语文,Grade 8,choice,默认题干 (变式25),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0080,语文,Grade 7,choice,默认题干 (变式26),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
