name,subject,grade,chapter,chapter_number,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords
力的概念,物理,Grade 7,力学基础,1,理解力的概念的基本概念和定义，掌握其特征和性质,2,3,0.7,理解力的概念的含义和特点,容易混淆力的概念的定义和分类,通过实例和对比来理解力的概念,力的概念|concepts|初中|基础知识
力的三要素,物理,Grade 7,力学基础,1,理解力的三要素的基本概念和定义，掌握其特征和性质,3,3,0.7,掌握力的三要素的方法和应用,容易混淆力的三要素的定义和分类,通过实例和对比来理解力的三要素,力的三要素|concepts|初中|基础知识
力的单位,物理,Grade 7,力学基础,1,理解力的单位的基本概念和定义，掌握其特征和性质,2,3,0.7,理解力的单位的含义和特点,容易混淆力的单位的定义和分类,通过实例和对比来理解力的单位,力的单位|concepts|初中|基础知识
力的分类,物理,Grade 7,力学基础,1,理解力的分类的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握力的分类的方法和应用,容易混淆力的分类的定义和分类,通过实例和对比来理解力的分类,力的分类|concepts|初中|基础知识
重力,物理,Grade 7,力学基础,1,理解重力的基本概念和定义，掌握其特征和性质,2,2,0.6,理解重力的含义和特点,容易混淆重力的定义和分类,通过实例和对比来理解重力,重力|concepts|初中|基础知识
摩擦力,物理,Grade 7,力学基础,1,理解摩擦力的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握摩擦力的方法和应用,容易混淆摩擦力的定义和分类,通过实例和对比来理解摩擦力,摩擦力|concepts|初中|基础知识
弹力,物理,Grade 7,力学基础,1,理解弹力的基本概念和定义，掌握其特征和性质,2,2,0.6,理解弹力的含义和特点,容易混淆弹力的定义和分类,通过实例和对比来理解弹力,弹力|concepts|初中|基础知识
力的合成与分解,物理,Grade 7,力学基础,1,理解力的合成与分解的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握力的合成与分解的方法和应用,容易混淆力的合成与分解的定义和分类,通过实例和对比来理解力的合成与分解,力的合成与分解|concepts|初中|基础知识
力的方向,物理,Grade 7,力学基础,1,理解力的方向的性质和规律，能够进行推理和证明,4,5,0.8,熟练运用力的方向解决问题,对力的方向的性质理解不够深入,通过证明和推导深入理解力的方向,力的方向|properties|初中|基础知识
力的作用点,物理,Grade 7,力学基础,1,理解力的作用点的性质和规律，能够进行推理和证明,5,5,0.8,深入理解力的作用点并能创新应用,对力的作用点的性质理解不够深入,通过证明和推导深入理解力的作用点,力的作用点|properties|初中|基础知识
