question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
math_auto_0001,数学,Grade 8,choice,下列各数中，是有理数的是（  ）,C. π|D. √3|A. √2|B. -3,B,-3是有理数，因为...,4,number_classification,智能生成,exercise,2024,math|自动生成,3,3
math_auto_0002,数学,Grade 9,choice,下列各数中，是无理数的是（  ）,D. 1/2|C. 0|A. -3|B. √2,B,√2是无理数，因为...,3,number_classification,智能生成,exercise,2024,math|自动生成,3,1
math_auto_0003,数学,Grade 8,choice,下列各数中，是无理数的是（  ） (变式3),D. 1/2|C. 0|B. π|A. -3,B,π是无理数，因为...,1,number_classification,智能生成,exercise,2024,math|自动生成,4,1
math_auto_0004,数学,Grade 7,choice,下列各数中，是有理数的是（  ） (变式4),B. 0|D. √3|A. √2|C. π,B,0是有理数，因为...,1,number_classification,智能生成,exercise,2024,math|自动生成,3,3
math_auto_0005,数学,Grade 7,choice,下列各数中，是有理数的是（  ） (变式5),B. 1/2|C. π|A. √2|D. √3,B,1/2是有理数，因为...,4,number_classification,智能生成,exercise,2024,math|自动生成,3,3
math_auto_0006,数学,Grade 8,choice,下列各数中，是有理数的是（  ） (变式6),B. -5.5|D. √3|C. π|A. √2,B,-5.5是有理数，因为...,4,number_classification,智能生成,exercise,2024,math|自动生成,4,2
math_auto_0007,数学,Grade 7,choice,下列各数中，是有理数的是（  ） (变式7),B. -3|A. √2|D. √3|C. π,B,-3是有理数，因为...,3,number_classification,智能生成,exercise,2024,math|自动生成,3,1
math_auto_0008,数学,Grade 9,choice,下列各数中，是无理数的是（  ） (变式8),B. √2|D. 1/2|A. -3|C. 0,B,√2是无理数，因为...,1,number_classification,智能生成,exercise,2024,math|自动生成,5,3
math_auto_0009,数学,Grade 9,choice,下列各数中，是无理数的是（  ） (变式9),B. π|C. 0|D. 1/2|A. -3,B,π是无理数，因为...,2,number_classification,智能生成,exercise,2024,math|自动生成,5,3
math_auto_0010,数学,Grade 8,choice,下列各数中，是有理数的是（  ） (变式10),D. √3|C. π|A. √2|B. 0,B,0是有理数，因为...,3,number_classification,智能生成,exercise,2024,math|自动生成,5,2
math_auto_0011,数学,Grade 7,choice,下列各数中，是有理数的是（  ） (变式11),C. π|D. √3|B. 1/2|A. √2,B,1/2是有理数，因为...,4,number_classification,智能生成,exercise,2024,math|自动生成,4,2
math_auto_0012,数学,Grade 7,choice,下列各数中，是有理数的是（  ） (变式12),C. π|A. √2|D. √3|B. -5.5,B,-5.5是有理数，因为...,2,number_classification,智能生成,exercise,2024,math|自动生成,3,2
