question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
phys_auto_0121,物理,Grade 7,choice,下列关于力的概念的说法，正确的是（  ）,A. 能量|B. 质量|D. 时间|C. 力是物体间的相互作用,C,力的概念的正确定义是：力是物体间的相互作用,4,physics_concepts,智能生成,exercise,2024,physics|自动生成,4,1
phys_auto_0122,物理,Grade 8,choice,下列关于光的反射的说法，正确的是（  ）,D. 干涉|B. 衍射|A. 折射|C. 光遇到两种介质的分界面时会改变传播方向,C,光的反射的正确定义是：光遇到两种介质的分界面时会改变传播方向,1,physics_concepts,智能生成,exercise,2024,physics|自动生成,3,3
phys_auto_0123,物理,Grade 8,choice,下列关于机械运动的说法，正确的是（  ）,B. 生物过程|C. 物体位置随时间的变化|D. 地理现象|A. 化学变化,C,机械运动的正确定义是：物体位置随时间的变化,2,physics_concepts,智能生成,exercise,2024,physics|自动生成,3,1
phys_auto_0124,物理,Grade 9,choice,下列关于牛顿第一定律的说法，正确的是（  ）,A. 加速度|B. 力|D. 能量|C. 物体保持静止或匀速直线运动状态,C,牛顿第一定律的正确定义是：物体保持静止或匀速直线运动状态,3,physics_concepts,智能生成,exercise,2024,physics|自动生成,5,2
phys_auto_0125,物理,Grade 9,choice,下列关于力的概念的说法，正确的是（  ） (变式5),D. 时间|A. 能量|B. 质量|C. 力是物体间的相互作用,C,力的概念的正确定义是：力是物体间的相互作用,4,physics_concepts,智能生成,exercise,2024,physics|自动生成,4,3
phys_auto_0126,物理,Grade 7,choice,下列关于光的反射的说法，正确的是（  ） (变式6),C. 光遇到两种介质的分界面时会改变传播方向|D. 干涉|B. 衍射|A. 折射,C,光的反射的正确定义是：光遇到两种介质的分界面时会改变传播方向,2,physics_concepts,智能生成,exercise,2024,physics|自动生成,5,3
phys_auto_0127,物理,Grade 7,choice,下列关于机械运动的说法，正确的是（  ） (变式7),A. 化学变化|D. 地理现象|C. 物体位置随时间的变化|B. 生物过程,C,机械运动的正确定义是：物体位置随时间的变化,3,physics_concepts,智能生成,exercise,2024,physics|自动生成,5,2
phys_auto_0128,物理,Grade 8,choice,下列关于牛顿第一定律的说法，正确的是（  ） (变式8),A. 加速度|B. 力|C. 物体保持静止或匀速直线运动状态|D. 能量,C,牛顿第一定律的正确定义是：物体保持静止或匀速直线运动状态,3,physics_concepts,智能生成,exercise,2024,physics|自动生成,5,1
phys_auto_0129,物理,Grade 7,choice,下列关于力的概念的说法，正确的是（  ） (变式9),D. 时间|C. 力是物体间的相互作用|A. 能量|B. 质量,C,力的概念的正确定义是：力是物体间的相互作用,3,physics_concepts,智能生成,exercise,2024,physics|自动生成,3,3
phys_auto_0130,物理,Grade 9,choice,下列关于光的反射的说法，正确的是（  ） (变式10),A. 折射|C. 光遇到两种介质的分界面时会改变传播方向|B. 衍射|D. 干涉,C,光的反射的正确定义是：光遇到两种介质的分界面时会改变传播方向,3,physics_concepts,智能生成,exercise,2024,physics|自动生成,4,3
