name,subject,grade,chapter,chapter_number,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords
记叙文六要素(1),语文,Grade 7,现代文阅读,1,掌握记叙文六要素的相关知识和技能,2,3,0.5,理解记叙文六要素(1)的含义和特点,对记叙文六要素(1)的理解不够准确,多练习，深入理解记叙文六要素(1),记叙文六要素(1)|narrative|初中|基础知识
记叙顺序(1),语文,Grade 7,现代文阅读,1,掌握记叙顺序的相关知识和技能,3,3,0.5,掌握记叙顺序(1)的方法和应用,对记叙顺序(1)的理解不够准确,多练习，深入理解记叙顺序(1),记叙顺序(1)|narrative|初中|基础知识
人物描写方法(1),语文,Grade 7,现代文阅读,1,掌握人物描写方法的相关知识和技能,2,3,0.5,理解人物描写方法(1)的含义和特点,对人物描写方法(1)的理解不够准确,多练习，深入理解人物描写方法(1),人物描写方法(1)|narrative|初中|基础知识
环境描写(1),语文,Grade 7,现代文阅读,1,掌握环境描写的相关知识和技能,3,2,0.4,掌握环境描写(1)的方法和应用,对环境描写(1)的理解不够准确,多练习，深入理解环境描写(1),环境描写(1)|narrative|初中|基础知识
细节描写(1),语文,Grade 7,现代文阅读,1,掌握细节描写的相关知识和技能,2,2,0.4,理解细节描写(1)的含义和特点,对细节描写(1)的理解不够准确,多练习，深入理解细节描写(1),细节描写(1)|narrative|初中|基础知识
语言特色(1),语文,Grade 7,现代文阅读,1,掌握语言特色的相关知识和技能,3,2,0.4,掌握语言特色(1)的方法和应用,对语言特色(1)的理解不够准确,多练习，深入理解语言特色(1),语言特色(1)|narrative|初中|基础知识
修辞手法(1),语文,Grade 7,现代文阅读,1,掌握修辞手法的相关知识和技能,2,2,0.4,理解修辞手法(1)的含义和特点,对修辞手法(1)的理解不够准确,多练习，深入理解修辞手法(1),修辞手法(1)|narrative|初中|基础知识
表达效果(1),语文,Grade 7,现代文阅读,1,掌握表达效果的相关知识和技能,3,2,0.4,掌握表达效果(1)的方法和应用,对表达效果(1)的理解不够准确,多练习，深入理解表达效果(1),表达效果(1)|narrative|初中|基础知识
说明对象(1),语文,Grade 7,现代文阅读,1,掌握说明对象的相关知识和技能,2,3,0.5,理解说明对象(1)的含义和特点,对说明对象(1)的理解不够准确,多练习，深入理解说明对象(1),说明对象(1)|expository|初中|基础知识
说明方法(1),语文,Grade 7,现代文阅读,1,掌握说明方法的相关知识和技能,3,3,0.5,掌握说明方法(1)的方法和应用,对说明方法(1)的理解不够准确,多练习，深入理解说明方法(1),说明方法(1)|expository|初中|基础知识
说明顺序(1),语文,Grade 7,现代文阅读,1,掌握说明顺序的相关知识和技能,2,3,0.5,理解说明顺序(1)的含义和特点,对说明顺序(1)的理解不够准确,多练习，深入理解说明顺序(1),说明顺序(1)|expository|初中|基础知识
说明语言(1),语文,Grade 7,现代文阅读,1,掌握说明语言的相关知识和技能,3,2,0.4,掌握说明语言(1)的方法和应用,对说明语言(1)的理解不够准确,多练习，深入理解说明语言(1),说明语言(1)|expository|初中|基础知识
结构分析(1),语文,Grade 7,现代文阅读,1,掌握结构分析的相关知识和技能,2,2,0.4,理解结构分析(1)的含义和特点,对结构分析(1)的理解不够准确,多练习，深入理解结构分析(1),结构分析(1)|expository|初中|基础知识
信息筛选(1),语文,Grade 7,现代文阅读,1,掌握信息筛选的相关知识和技能,3,2,0.4,掌握信息筛选(1)的方法和应用,对信息筛选(1)的理解不够准确,多练习，深入理解信息筛选(1),信息筛选(1)|expository|初中|基础知识
