question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
bio_auto_0321,生物,Grade 9,fill_blank,光合作用的反应式是______,,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,2,photosynthesis,智能生成,exercise,2024,biology|自动生成,3,3
bio_auto_0322,生物,Grade 7,fill_blank,光合作用的反应式是______ (变式2),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,4,photosynthesis,智能生成,exercise,2024,biology|自动生成,5,3
bio_auto_0323,生物,Grade 9,fill_blank,光合作用的反应式是______ (变式3),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,3,photosynthesis,智能生成,exercise,2024,biology|自动生成,4,3
bio_auto_0324,生物,Grade 9,fill_blank,光合作用的反应式是______ (变式4),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,4,photosynthesis,智能生成,exercise,2024,biology|自动生成,4,3
bio_auto_0325,生物,Grade 7,fill_blank,光合作用的反应式是______ (变式5),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,3,photosynthesis,智能生成,exercise,2024,biology|自动生成,5,2
bio_auto_0326,生物,Grade 8,fill_blank,光合作用的反应式是______ (变式6),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,4,photosynthesis,智能生成,exercise,2024,biology|自动生成,4,2
bio_auto_0327,生物,Grade 7,fill_blank,光合作用的反应式是______ (变式7),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,1,photosynthesis,智能生成,exercise,2024,biology|自动生成,4,2
bio_auto_0328,生物,Grade 8,fill_blank,光合作用的反应式是______ (变式8),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,1,photosynthesis,智能生成,exercise,2024,biology|自动生成,4,1
bio_auto_0329,生物,Grade 9,fill_blank,光合作用的反应式是______ (变式9),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,1,photosynthesis,智能生成,exercise,2024,biology|自动生成,3,1
bio_auto_0330,生物,Grade 7,fill_blank,光合作用的反应式是______ (变式10),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,4,photosynthesis,智能生成,exercise,2024,biology|自动生成,4,3
