question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
chin_auto_0080,语文,Grade 8,choice,默认题干,A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,2
chin_auto_0081,语文,Grade 9,choice,默认题干 (变式2),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0082,语文,Grade 9,choice,默认题干 (变式3),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0083,语文,Grade 7,choice,默认题干 (变式4),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,3
chin_auto_0084,语文,Grade 9,choice,默认题干 (变式5),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0085,语文,Grade 7,choice,默认题干 (变式6),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,3
chin_auto_0086,语文,Grade 8,choice,默认题干 (变式7),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0087,语文,Grade 8,choice,默认题干 (变式8),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0088,语文,Grade 8,choice,默认题干 (变式9),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0089,语文,Grade 9,choice,默认题干 (变式10),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0090,语文,Grade 7,choice,默认题干 (变式11),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0091,语文,Grade 7,choice,默认题干 (变式12),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0092,语文,Grade 7,choice,默认题干 (变式13),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0093,语文,Grade 7,choice,默认题干 (变式14),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,2
chin_auto_0094,语文,Grade 9,choice,默认题干 (变式15),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0095,语文,Grade 8,choice,默认题干 (变式16),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0096,语文,Grade 8,choice,默认题干 (变式17),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0097,语文,Grade 7,choice,默认题干 (变式18),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0098,语文,Grade 8,choice,默认题干 (变式19),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0099,语文,Grade 8,choice,默认题干 (变式20),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
