subject,grade,chapter,knowledge_point,description,keywords,difficulty_level,importance_level
数学,初一,有理数,正数和负数,理解正数和负数的概念，掌握正负数的表示方法,"正数,负数,数轴,相反数",1,3
数学,初一,有理数,有理数的加法,掌握有理数加法的运算法则，能进行有理数加法运算,"有理数,加法,运算法则,绝对值",2,4
数学,初一,有理数,有理数的减法,掌握有理数减法的运算法则，能进行有理数减法运算,"有理数,减法,运算法则,相反数",2,4
数学,初一,整式的加减,单项式,理解单项式的概念，掌握单项式的系数和次数,"单项式,系数,次数,字母",2,3
数学,初一,整式的加减,多项式,理解多项式的概念，掌握多项式的项数和次数,"多项式,项,次数,常数项",2,3
语文,初一,现代文阅读,记叙文阅读,理解记叙文的特点，掌握记叙文的阅读方法,"记叙文,时间,地点,人物,事件",2,4
语文,初一,现代文阅读,说明文阅读,理解说明文的特点，掌握说明文的阅读方法,"说明文,说明对象,说明方法,说明顺序",2,4
英语,初一,语法基础,一般现在时,掌握一般现在时的用法和构成,"一般现在时,be动词,实义动词,第三人称单数",2,5
英语,初一,语法基础,名词复数,掌握名词复数的变化规则,"名词,复数,规则变化,不规则变化",1,4
物理,初二,力学基础,力的概念,理解力的概念，掌握力的三要素,"力,大小,方向,作用点,力的三要素",2,4
物理,初二,力学基础,重力,理解重力的概念，掌握重力的计算,"重力,质量,重力加速度,万有引力",2,4
化学,初三,物质的变化,物理变化,理解物理变化的概念和特征,"物理变化,状态变化,形状变化,分子不变",1,3
化学,初三,物质的变化,化学变化,理解化学变化的概念和特征,"化学变化,新物质,分子变化,化学反应",2,4
生物,初一,细胞,细胞的基本结构,了解细胞的基本结构和功能,"细胞,细胞膜,细胞质,细胞核",2,4
生物,初一,细胞,细胞分裂,理解细胞分裂的过程和意义,"细胞分裂,有丝分裂,无丝分裂,生长",3,4
历史,初一,中国古代史,夏商周,了解夏商周三个朝代的基本情况,"夏朝,商朝,周朝,青铜器,甲骨文",2,3
历史,初一,中国古代史,秦汉,了解秦汉时期的历史发展,"秦朝,汉朝,统一,中央集权",2,4
地理,初一,地球和地图,地球的形状和大小,了解地球的形状和基本数据,"地球,球体,赤道,极半径",1,3
地理,初一,地球和地图,地图的基本要素,掌握地图的基本要素和使用方法,"地图,比例尺,方向,图例",2,4
政治,初一,思想品德,道德与法律,理解道德与法律的关系,"道德,法律,规范,约束",2,4
政治,初一,思想品德,公民的基本权利,了解公民的基本权利和义务,"公民,权利,义务,宪法",2,4
