name,subject,grade,chapter,chapter_number,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords
一般现在时,英语,Grade 7,语法基础,1,掌握一般现在时的相关知识和技能,2,3,0.5,理解一般现在时的含义和特点,对一般现在时的理解不够准确,多练习，深入理解一般现在时,一般现在时|tenses|初中|基础知识
一般过去时,英语,Grade 7,语法基础,1,掌握一般过去时的相关知识和技能,3,3,0.5,掌握一般过去时的方法和应用,对一般过去时的理解不够准确,多练习，深入理解一般过去时,一般过去时|tenses|初中|基础知识
现在进行时,英语,Grade 7,语法基础,1,掌握现在进行时的相关知识和技能,2,3,0.5,理解现在进行时的含义和特点,对现在进行时的理解不够准确,多练习，深入理解现在进行时,现在进行时|tenses|初中|基础知识
一般将来时,英语,Grade 7,语法基础,1,掌握一般将来时的相关知识和技能,3,2,0.4,掌握一般将来时的方法和应用,对一般将来时的理解不够准确,多练习，深入理解一般将来时,一般将来时|tenses|初中|基础知识
现在完成时,英语,Grade 7,语法基础,1,掌握现在完成时的相关知识和技能,2,2,0.4,理解现在完成时的含义和特点,对现在完成时的理解不够准确,多练习，深入理解现在完成时,现在完成时|tenses|初中|基础知识
时态对比,英语,Grade 7,语法基础,1,掌握时态对比的相关知识和技能,3,2,0.4,掌握时态对比的方法和应用,对时态对比的理解不够准确,多练习，深入理解时态对比,时态对比|tenses|初中|基础知识
时态在语境中的运用,英语,Grade 7,语法基础,1,掌握时态在语境中的运用的相关知识和技能,2,2,0.4,理解时态在语境中的运用的含义和特点,对时态在语境中的运用的理解不够准确,多练习，深入理解时态在语境中的运用,时态在语境中的运用|tenses|初中|基础知识
可数名词,英语,Grade 7,语法基础,1,掌握可数名词的相关知识和技能,2,3,0.5,理解可数名词的含义和特点,对可数名词的理解不够准确,多练习，深入理解可数名词,可数名词|nouns|初中|基础知识
不可数名词,英语,Grade 7,语法基础,1,掌握不可数名词的相关知识和技能,3,3,0.5,掌握不可数名词的方法和应用,对不可数名词的理解不够准确,多练习，深入理解不可数名词,不可数名词|nouns|初中|基础知识
名词复数,英语,Grade 7,语法基础,1,掌握名词复数的相关知识和技能,2,3,0.5,理解名词复数的含义和特点,对名词复数的理解不够准确,多练习，深入理解名词复数,名词复数|nouns|初中|基础知识
名词所有格,英语,Grade 7,语法基础,1,掌握名词所有格的相关知识和技能,3,2,0.4,掌握名词所有格的方法和应用,对名词所有格的理解不够准确,多练习，深入理解名词所有格,名词所有格|nouns|初中|基础知识
专有名词,英语,Grade 7,语法基础,1,掌握专有名词的相关知识和技能,2,2,0.4,理解专有名词的含义和特点,对专有名词的理解不够准确,多练习，深入理解专有名词,专有名词|nouns|初中|基础知识
抽象名词,英语,Grade 7,语法基础,1,掌握抽象名词的相关知识和技能,3,2,0.4,掌握抽象名词的方法和应用,对抽象名词的理解不够准确,多练习，深入理解抽象名词,抽象名词|nouns|初中|基础知识
集体名词,英语,Grade 7,语法基础,1,掌握集体名词的相关知识和技能,2,2,0.4,理解集体名词的含义和特点,对集体名词的理解不够准确,多练习，深入理解集体名词,集体名词|nouns|初中|基础知识
人称代词,英语,Grade 7,语法基础,1,掌握人称代词的相关知识和技能,2,3,0.5,理解人称代词的含义和特点,对人称代词的理解不够准确,多练习，深入理解人称代词,人称代词|pronouns|初中|基础知识
物主代词,英语,Grade 7,语法基础,1,掌握物主代词的相关知识和技能,3,3,0.5,掌握物主代词的方法和应用,对物主代词的理解不够准确,多练习，深入理解物主代词,物主代词|pronouns|初中|基础知识
反身代词,英语,Grade 7,语法基础,1,掌握反身代词的相关知识和技能,2,3,0.5,理解反身代词的含义和特点,对反身代词的理解不够准确,多练习，深入理解反身代词,反身代词|pronouns|初中|基础知识
指示代词,英语,Grade 7,语法基础,1,掌握指示代词的相关知识和技能,3,2,0.4,掌握指示代词的方法和应用,对指示代词的理解不够准确,多练习，深入理解指示代词,指示代词|pronouns|初中|基础知识
疑问代词,英语,Grade 7,语法基础,1,掌握疑问代词的相关知识和技能,2,2,0.4,理解疑问代词的含义和特点,对疑问代词的理解不够准确,多练习，深入理解疑问代词,疑问代词|pronouns|初中|基础知识
不定代词,英语,Grade 7,语法基础,1,掌握不定代词的相关知识和技能,3,2,0.4,掌握不定代词的方法和应用,对不定代词的理解不够准确,多练习，深入理解不定代词,不定代词|pronouns|初中|基础知识
