question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
math_auto_0100,数学,Grade 8,fill_blank,-1的相反数是______,,1,相反数是与原数相加等于0的数，-1+(1)=0,1,opposite_numbers,智能生成,exercise,2024,math|自动生成,5,2
math_auto_0101,数学,Grade 7,fill_blank,7的相反数是______,,-7,相反数是与原数相加等于0的数，7+(-7)=0,1,opposite_numbers,智能生成,exercise,2024,math|自动生成,5,2
math_auto_0102,数学,Grade 7,fill_blank,10的相反数是______,,-10,相反数是与原数相加等于0的数，10+(-10)=0,2,opposite_numbers,智能生成,exercise,2024,math|自动生成,3,1
math_auto_0103,数学,Grade 9,fill_blank,1的相反数是______,,-1,相反数是与原数相加等于0的数，1+(-1)=0,1,opposite_numbers,智能生成,exercise,2024,math|自动生成,3,3
math_auto_0104,数学,Grade 7,fill_blank,-3的相反数是______,,3,相反数是与原数相加等于0的数，-3+(3)=0,2,opposite_numbers,智能生成,exercise,2024,math|自动生成,4,3
math_auto_0105,数学,Grade 9,fill_blank,-3的相反数是______ (变式6),,3,相反数是与原数相加等于0的数，-3+(3)=0,3,opposite_numbers,智能生成,exercise,2024,math|自动生成,3,1
math_auto_0106,数学,Grade 8,fill_blank,6的相反数是______,,-6,相反数是与原数相加等于0的数，6+(-6)=0,3,opposite_numbers,智能生成,exercise,2024,math|自动生成,5,3
math_auto_0107,数学,Grade 8,fill_blank,8的相反数是______,,-8,相反数是与原数相加等于0的数，8+(-8)=0,3,opposite_numbers,智能生成,exercise,2024,math|自动生成,3,1
math_auto_0108,数学,Grade 9,fill_blank,9的相反数是______,,-9,相反数是与原数相加等于0的数，9+(-9)=0,3,opposite_numbers,智能生成,exercise,2024,math|自动生成,4,3
math_auto_0109,数学,Grade 7,fill_blank,5的相反数是______,,-5,相反数是与原数相加等于0的数，5+(-5)=0,1,opposite_numbers,智能生成,exercise,2024,math|自动生成,3,2
