question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
chin_auto_0250,语文,Grade 8,choice,默认题干 (变式51),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,3
chin_auto_0251,语文,Grade 7,choice,默认题干 (变式52),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,2
chin_auto_0252,语文,Grade 8,choice,默认题干 (变式53),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0253,语文,Grade 8,choice,默认题干 (变式54),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0254,语文,Grade 9,choice,默认题干 (变式55),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0255,语文,Grade 9,choice,默认题干 (变式56),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,2
chin_auto_0256,语文,Grade 7,choice,默认题干 (变式57),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0257,语文,Grade 7,choice,默认题干 (变式58),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0258,语文,Grade 9,choice,默认题干 (变式59),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0259,语文,Grade 8,choice,默认题干 (变式60),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0260,语文,Grade 8,choice,默认题干 (变式61),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0261,语文,Grade 9,choice,默认题干 (变式62),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,3
chin_auto_0262,语文,Grade 7,choice,默认题干 (变式63),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0263,语文,Grade 9,choice,默认题干 (变式64),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0264,语文,Grade 9,choice,默认题干 (变式65),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
chin_auto_0265,语文,Grade 8,choice,默认题干 (变式66),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0266,语文,Grade 9,choice,默认题干 (变式67),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0267,语文,Grade 7,choice,默认题干 (变式68),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
chin_auto_0268,语文,Grade 9,choice,默认题干 (变式69),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,2
chin_auto_0269,语文,Grade 9,choice,默认题干 (变式70),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0270,语文,Grade 8,choice,默认题干 (变式71),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,2
chin_auto_0271,语文,Grade 7,choice,默认题干 (变式72),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
chin_auto_0272,语文,Grade 8,choice,默认题干 (变式73),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
