question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
chem_auto_0201,化学,Grade 9,choice,下列物质中，金属的是（  ）,C. 能与酸反应产生氢气|B. 不导电|A. 能与碱反应|D. 易溶于水,C,金属的典型性质是：能与酸反应产生氢气,1,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,4,3
chem_auto_0202,化学,Grade 7,choice,下列物质中，酸的是（  ）,D. 不导电|B. 呈碱性|C. 能与碱反应产生盐和水|A. 能与金属反应,C,酸的典型性质是：能与碱反应产生盐和水,1,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,5,1
chem_auto_0203,化学,Grade 7,choice,下列物质中，碱的是（  ）,A. 能与金属反应|C. 能与酸反应产生盐和水|B. 呈酸性|D. 易挥发,C,碱的典型性质是：能与酸反应产生盐和水,2,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,4,3
chem_auto_0204,化学,Grade 7,choice,下列物质中，盐的是（  ）,D. 易分解|C. 由金属离子和酸根离子组成|A. 由非金属组成|B. 呈酸性,C,盐的典型性质是：由金属离子和酸根离子组成,1,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,5,1
chem_auto_0205,化学,Grade 9,choice,下列物质中，金属的是（  ） (变式5),D. 易溶于水|B. 不导电|C. 能与酸反应产生氢气|A. 能与碱反应,C,金属的典型性质是：能与酸反应产生氢气,1,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,4,3
chem_auto_0206,化学,Grade 8,choice,下列物质中，酸的是（  ） (变式6),B. 呈碱性|A. 能与金属反应|C. 能与碱反应产生盐和水|D. 不导电,C,酸的典型性质是：能与碱反应产生盐和水,2,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,5,3
chem_auto_0207,化学,Grade 9,choice,下列物质中，碱的是（  ） (变式7),A. 能与金属反应|D. 易挥发|B. 呈酸性|C. 能与酸反应产生盐和水,C,碱的典型性质是：能与酸反应产生盐和水,4,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,3,3
chem_auto_0208,化学,Grade 7,choice,下列物质中，盐的是（  ） (变式8),C. 由金属离子和酸根离子组成|A. 由非金属组成|D. 易分解|B. 呈酸性,C,盐的典型性质是：由金属离子和酸根离子组成,4,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,3,3
chem_auto_0209,化学,Grade 7,choice,下列物质中，金属的是（  ） (变式9),B. 不导电|D. 易溶于水|A. 能与碱反应|C. 能与酸反应产生氢气,C,金属的典型性质是：能与酸反应产生氢气,2,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,4,1
chem_auto_0210,化学,Grade 9,choice,下列物质中，酸的是（  ） (变式10),C. 能与碱反应产生盐和水|B. 呈碱性|A. 能与金属反应|D. 不导电,C,酸的典型性质是：能与碱反应产生盐和水,3,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,3,1
chem_auto_0211,化学,Grade 7,choice,下列物质中，碱的是（  ） (变式11),A. 能与金属反应|D. 易挥发|C. 能与酸反应产生盐和水|B. 呈酸性,C,碱的典型性质是：能与酸反应产生盐和水,3,chemistry_properties,智能生成,exercise,2024,chemistry|自动生成,4,1
