name,subject,grade,chapter,chapter_number,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords
物质的三态,化学,Grade 7,物质的性质,1,理解物质的三态的基本概念和定义，掌握其特征和性质,2,3,0.7,理解物质的三态的含义和特点,容易混淆物质的三态的定义和分类,通过实例和对比来理解物质的三态,物质的三态|concepts|初中|基础知识
物理性质,化学,Grade 7,物质的性质,1,理解物理性质的基本概念和定义，掌握其特征和性质,3,3,0.7,掌握物理性质的方法和应用,容易混淆物理性质的定义和分类,通过实例和对比来理解物理性质,物理性质|concepts|初中|基础知识
化学性质,化学,Grade 7,物质的性质,1,理解化学性质的基本概念和定义，掌握其特征和性质,2,3,0.7,理解化学性质的含义和特点,容易混淆化学性质的定义和分类,通过实例和对比来理解化学性质,化学性质|concepts|初中|基础知识
物质的分类,化学,Grade 7,物质的性质,1,理解物质的分类的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握物质的分类的方法和应用,容易混淆物质的分类的定义和分类,通过实例和对比来理解物质的分类,物质的分类|concepts|初中|基础知识
元素,化学,Grade 7,物质的性质,1,理解元素的基本概念和定义，掌握其特征和性质,2,2,0.6,理解元素的含义和特点,容易混淆元素的定义和分类,通过实例和对比来理解元素,元素|concepts|初中|基础知识
化合物,化学,Grade 7,物质的性质,1,理解化合物的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握化合物的方法和应用,容易混淆化合物的定义和分类,通过实例和对比来理解化合物,化合物|concepts|初中|基础知识
混合物,化学,Grade 7,物质的性质,1,理解混合物的基本概念和定义，掌握其特征和性质,2,2,0.6,理解混合物的含义和特点,容易混淆混合物的定义和分类,通过实例和对比来理解混合物,混合物|concepts|初中|基础知识
纯净物,化学,Grade 7,物质的性质,1,理解纯净物的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握纯净物的方法和应用,容易混淆纯净物的定义和分类,通过实例和对比来理解纯净物,纯净物|concepts|初中|基础知识
物质的鉴别,化学,Grade 7,物质的性质,1,掌握物质的鉴别的相关知识和技能,2,3,0.5,理解物质的鉴别的含义和特点,对物质的鉴别的理解不够准确,多练习，深入理解物质的鉴别,物质的鉴别|identification|初中|基础知识
性质的观察,化学,Grade 7,物质的性质,1,掌握性质的观察的相关知识和技能,3,3,0.5,掌握性质的观察的方法和应用,对性质的观察的理解不够准确,多练习，深入理解性质的观察,性质的观察|identification|初中|基础知识
