question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
math_auto_0001,数学,Grade 7,choice,下列各数中，是有理数的是（  ）,B. -3|D. √3|A. √2|C. π,B,-3是有理数，因为有理数是有理数集中的数，可以写成分数形式,3,number_classification,智能生成,exercise,2024,math|自动生成,4,3
math_auto_0002,数学,Grade 7,choice,下列各数中，是无理数的是（  ）,D. 1/2|C. 0|A. -3|B. √2,B,√2是无理数，因为无理数是无限不循环小数，不能写成分数形式,1,number_classification,智能生成,exercise,2024,math|自动生成,4,2
math_auto_0003,数学,Grade 9,choice,下列各数中，是无理数的是（  ） (变式3),C. 0|A. -3|D. 1/2|B. π,B,π是无理数，因为圆周率π是无理数,2,number_classification,智能生成,exercise,2024,math|自动生成,3,1
math_auto_0004,数学,Grade 7,choice,下列各数中，是有理数的是（  ） (变式4),A. √2|B. 0|C. π|D. √3,B,0是有理数，因为0是有理数，是整数的特殊形式,2,number_classification,智能生成,exercise,2024,math|自动生成,4,3
math_auto_0005,数学,Grade 7,choice,下列各数中，是有理数的是（  ） (变式5),D. √3|B. 1/2|C. π|A. √2,B,1/2是有理数，因为分数是有理数的一种形式,1,number_classification,智能生成,exercise,2024,math|自动生成,3,1
math_auto_0006,数学,Grade 9,choice,下列各数中，是有理数的是（  ） (变式6),C. π|B. -5.5|A. √2|D. √3,B,-5.5是有理数，因为负小数是有理数,3,number_classification,智能生成,exercise,2024,math|自动生成,3,1
math_auto_0007,数学,Grade 7,choice,下列各数中，是无理数的是（  ） (变式7),A. -3|B. √3|D. 1/2|C. 0,B,√3是无理数，因为立方根也是无理数,2,number_classification,智能生成,exercise,2024,math|自动生成,3,2
math_auto_0008,数学,Grade 7,choice,下列各数中，是无理数的是（  ） (变式8),C. 0|D. 1/2|B. 3.14|A. -3,B,3.14是无理数，因为有限小数是有理数,1,number_classification,智能生成,exercise,2024,math|自动生成,5,1
math_auto_0009,数学,Grade 8,choice,下列各数中，是有理数的是（  ） (变式9),C. π|A. √2|B. -3|D. √3,B,-3是有理数，因为有理数是有理数集中的数，可以写成分数形式,2,number_classification,智能生成,exercise,2024,math|自动生成,5,3
math_auto_0010,数学,Grade 7,choice,下列各数中，是无理数的是（  ） (变式10),C. 0|D. 1/2|A. -3|B. √2,B,√2是无理数，因为无理数是无限不循环小数，不能写成分数形式,2,number_classification,智能生成,exercise,2024,math|自动生成,4,2
