subject,grade,chapter,knowledge_point,description,keywords,difficulty_level,importance_level
数学,初一,有理数,正数和负数,理解正数和负数的概念，掌握正负数的表示方法,"正数,负数,数轴,相反数",1,3
数学,初一,有理数,有理数的加法,掌握有理数加法的运算法则，能进行有理数加法运算,"有理数,加法,运算法则,绝对值",2,4
数学,初一,有理数,有理数的减法,掌握有理数减法的运算法则，能进行有理数减法运算,"有理数,减法,运算法则,相反数",2,4
数学,初一,整式的加减,单项式,理解单项式的概念，掌握单项式的系数和次数,"单项式,系数,次数,字母",2,3
数学,初一,整式的加减,多项式,理解多项式的概念，掌握多项式的项数和次数,"多项式,项,次数,常数项",2,3
语文,初一,现代文阅读,记叙文阅读,理解记叙文的特点，掌握记叙文的阅读方法,"记叙文,时间,地点,人物,事件",2,4
语文,初一,现代文阅读,说明文阅读,理解说明文的特点，掌握说明文的阅读方法,"说明文,说明对象,说明方法,说明顺序",2,4
英语,初一,语法基础,一般现在时,掌握一般现在时的用法和构成,"一般现在时,be动词,实义动词,第三人称单数",2,5
英语,初一,语法基础,名词复数,掌握名词复数的变化规则,"名词,复数,规则变化,不规则变化",1,4
物理,初二,力学基础,力的概念,理解力的概念，掌握力的三要素,"力,大小,方向,作用点,力的三要素",2,4
物理,初二,力学基础,重力,理解重力的概念，掌握重力的计算,"重力,质量,重力加速度,万有引力",2,4
化学,初三,物质的变化,物理变化,理解物理变化的概念和特征,"物理变化,状态变化,形状变化,分子不变",1,3
化学,初三,物质的变化,化学变化,理解化学变化的概念和特征,"化学变化,新物质,分子变化,化学反应",2,4
生物,初一,细胞,细胞的基本结构,了解细胞的基本结构和功能,"细胞,细胞膜,细胞质,细胞核",2,4
生物,初一,细胞,细胞分裂,理解细胞分裂的过程和意义,"细胞分裂,有丝分裂,无丝分裂,生长",3,4
历史,初一,中国古代史,夏商周,了解夏商周三个朝代的基本情况,"夏朝,商朝,周朝,青铜器,甲骨文",2,3
历史,初一,中国古代史,秦汉,了解秦汉时期的历史发展,"秦朝,汉朝,统一,中央集权",2,4
地理,初一,地球和地图,地球的形状和大小,了解地球的形状和基本数据,"地球,球体,赤道,极半径",1,3
地理,初一,地球和地图,地图的基本要素,掌握地图的基本要素和使用方法,"地图,比例尺,方向,图例",2,4
政治,初一,思想品德,道德与法律,理解道德与法律的关系,"道德,法律,规范,约束",2,4
政治,初一,思想品德,公民的基本权利,了解公民的基本权利和义务,"公民,权利,义务,宪法",2,4
数学,初一,有理数,有理数的乘法,掌握有理数乘法的运算法则,"有理数,乘法,运算法则,符号",2,4
数学,初一,有理数,有理数的除法,掌握有理数除法的运算法则,"有理数,除法,运算法则,倒数",2,4
数学,初一,有理数,有理数的乘方,理解有理数乘方的概念和运算,"有理数,乘方,幂,指数",3,3
数学,初一,整式的加减,同类项,理解同类项的概念，掌握合并同类项的方法,"同类项,合并,系数,字母",2,4
数学,初一,整式的加减,去括号,掌握去括号的法则,"去括号,分配律,符号",2,4
数学,初二,一元二次方程,一元二次方程的概念,理解一元二次方程的概念和一般形式,"一元二次方程,二次项,一次项,常数项",2,4
数学,初二,一元二次方程,配方法,掌握用配方法解一元二次方程,"配方法,完全平方式,配方",3,4
数学,初二,一元二次方程,公式法,掌握用公式法解一元二次方程,"公式法,判别式,求根公式",3,4
数学,初二,函数,函数的概念,理解函数的概念和表示方法,"函数,自变量,因变量,对应关系",2,5
数学,初二,函数,一次函数,掌握一次函数的概念、图像和性质,"一次函数,直线,斜率,截距",3,5
数学,初三,二次函数,二次函数的概念,理解二次函数的概念和一般形式,"二次函数,抛物线,顶点,对称轴",3,5
数学,初三,二次函数,二次函数的图像,掌握二次函数的图像特征,"抛物线,开口方向,顶点,对称轴",3,4
数学,初三,圆,圆的概念,理解圆的概念和基本性质,"圆,圆心,半径,直径",2,4
数学,初三,圆,圆周角定理,掌握圆周角定理及其推论,"圆周角,圆心角,圆周角定理",4,4
数学,初三,圆,切线,理解切线的概念和性质,"切线,切点,切线性质",3,4
语文,初一,现代文阅读,议论文阅读,理解议论文的特点，掌握议论文的阅读方法,"议论文,论点,论据,论证",3,4
语文,初一,现代文阅读,散文阅读,理解散文的特点，掌握散文的阅读方法,"散文,形散神聚,意境,语言",3,4
语文,初一,古文阅读,文言实词,掌握常见文言实词的含义和用法,"文言实词,一词多义,古今异义",3,4
语文,初一,古文阅读,文言虚词,掌握常见文言虚词的用法,"文言虚词,之,而,以,于",3,4
语文,初一,写作,记叙文写作,掌握记叙文的写作方法和技巧,"记叙文,时间,地点,人物,事件",2,4
语文,初二,现代文阅读,小说阅读,理解小说的特点，掌握小说的阅读方法,"小说,人物,情节,环境,主题",3,4
语文,初二,古文阅读,文言句式,掌握常见文言句式的特点,"判断句,被动句,倒装句,省略句",4,4
语文,初二,写作,议论文写作,掌握议论文的写作方法和技巧,"议论文,论点,论据,论证",3,4
语文,初三,现代文阅读,诗歌鉴赏,掌握诗歌鉴赏的方法和技巧,"诗歌,意象,意境,表现手法",4,4
语文,初三,写作,材料作文,掌握材料作文的写作方法,"材料作文,审题,立意,构思",4,5
英语,初一,语法基础,一般过去时,掌握一般过去时的用法和构成,"一般过去时,过去时间,动词过去式",2,4
