id,subject,grade,chapter,chapter_number,name,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords,created_at
1,数学,Grade 7,第一章 有理数,1,有理数的概念,理解有理数的定义，掌握正数、负数和零的概念，能够识别和分类有理数,2,4,0.8,能够识别和分类有理数，理解有理数在数轴上的表示,混淆有理数和无理数的概念，不理解零的性质,通过数轴理解有理数的大小关系，记住有理数包括整数和分数,有理数|正数|负数|整数|分数|零,2025-09-02T22:25:49.908733
2,数学,Grade 7,第一章 有理数,1,数轴,掌握数轴的概念，理解数轴上点与有理数的一一对应关系,2,4,0.75,能够在数轴上标出有理数，利用数轴比较有理数大小,不理解数轴的三要素，混淆点的坐标,记住数轴的三要素：原点、正方向、单位长度,数轴|原点|正方向|单位长度|坐标,2025-09-02T22:25:49.908733
3,数学,Grade 7,第一章 有理数,1,有理数的加法,掌握有理数加法法则，能够进行有理数的加法运算,3,5,0.9,熟练掌握同号、异号有理数的加法运算,符号处理错误，不理解加法交换律和结合律,同号相加取相同符号，异号相加取绝对值大的符号,有理数加法|同号|异号|绝对值|运算法则,2025-09-02T22:25:49.908733
4,数学,Grade 7,第一章 有理数,1,有理数的减法,理解有理数减法的意义，掌握减法与加法的关系,3,5,0.85,能够将减法转化为加法进行计算,不能正确转化为加法，符号变换错误,减去一个数等于加上这个数的相反数,有理数减法|相反数|减法转加法,2025-09-02T22:25:49.908733
5,数学,Grade 7,第一章 有理数,1,有理数的乘法,掌握有理数乘法法则，理解乘法的符号规律,3,5,0.88,熟练进行有理数乘法运算，理解乘法律,符号判断错误，不理解零的特殊性,同号得正，异号得负，绝对值相乘,有理数乘法|符号规律|乘法交换律|乘法结合律,2025-09-02T22:25:49.908733
6,数学,Grade 8,第一章 函数,1,函数的概念,理解函数的定义，掌握函数的表示方法,4,5,0.9,能够判断两个变量之间是否存在函数关系,混淆自变量和因变量，不理解一一对应关系,函数是一种特殊的对应关系，一个自变量对应唯一的函数值,函数|自变量|因变量|对应关系|定义域,2025-09-02T22:25:49.908733
7,数学,Grade 8,第一章 函数,1,一次函数,掌握一次函数的定义、图像和性质,4,5,0.95,能够画出一次函数图像，分析函数性质,不理解k和b的几何意义，图像画错,k决定倾斜程度，b决定与y轴交点,一次函数|斜率|截距|单调性|图像,2025-09-02T22:25:49.908733
8,数学,Grade 9,第一章 二次函数,1,二次函数的概念,理解二次函数的定义，掌握二次函数的一般形式,5,5,0.95,能够识别二次函数，理解系数的作用,混淆二次函数的不同形式，不理解系数意义,二次函数的一般形式是y=ax²+bx+c（a≠0）,二次函数|抛物线|开口方向|对称轴|顶点,2025-09-02T22:25:49.908733
9,语文,Grade 7,现代文阅读,1,记叙文阅读理解,掌握记叙文的六要素，理解记叙顺序和人称，能够分析文章结构,3,5,0.9,能够分析记叙文的结构和内容，概括文章主旨,不能准确概括文章主旨，混淆记叙顺序,抓住文章的时间、地点、人物、事件、原因、结果,记叙文|六要素|记叙顺序|人称|主旨,2025-09-02T22:25:49.908733
10,语文,Grade 7,现代文阅读,1,说明文阅读理解,掌握说明文的特点，理解说明方法和说明顺序,3,4,0.8,能够识别说明方法，分析说明文结构,不能准确识别说明方法，混淆说明顺序,重点关注说明对象的特征和说明方法,说明文|说明方法|说明顺序|说明对象,2025-09-02T22:25:49.908733
11,英语,Grade 7,语法基础,1,一般现在时,掌握一般现在时的构成形式、用法规则和时间状语，重点掌握第三人称单数的变化,2,5,0.85,正确使用一般现在时描述经常性动作，掌握第三人称单数的动词变化规则,第三人称单数动词变化错误，时间状语使用不当,"记住常用时间状语：always, usually, often, sometimes, never",一般现在时|第三人称单数|时间状语|动词变化,2025-09-02T22:25:49.908733
12,英语,Grade 7,语法基础,1,现在进行时,掌握现在进行时的构成be+动词ing形式，理解其表示正在进行的动作,3,4,0.8,能够正确使用现在进行时描述正在发生的动作,be动词的选择错误，动词ing形式变化规则掌握不准确,注意动词ing的变化规律：直接加ing、去e加ing、双写加ing,现在进行时|be动词|动词ing|正在进行,2025-09-02T22:25:49.908733
13,英语,Grade 7,语法基础,1,名词复数,掌握名词复数的构成规则，包括规则变化和不规则变化,2,4,0.75,能够正确写出名词的复数形式，理解可数名词与不可数名词的区别,不规则复数形式记忆错误，可数与不可数名词混淆,"记住常见不规则复数：child-children, man-men, foot-feet等",名词复数|规则变化|不规则变化|可数名词,2025-09-02T22:25:49.908733
14,物理,Grade 8,力和运动,1,力的概念,理解力是物体对物体的作用，掌握力的三要素（大小、方向、作用点）,3,4,0.7,理解力的概念和本质，掌握力的三要素，能够分析生活中的力现象,混淆力的作用点和施力物体，不理解力的相互性,用力的示意图分析问题，记住力的作用是相互的,力|三要素|大小|方向|作用点|相互作用,2025-09-02T22:25:49.908733
15,物理,Grade 8,力和运动,1,重力,理解重力的概念，掌握重力的大小计算公式G=mg,2,5,0.9,理解重力的产生原因，能够计算物体的重力大小,重力和质量的概念混淆，重力方向理解错误,重力总是竖直向下，重力大小与质量成正比,重力|地球引力|竖直向下|重力加速度,2025-09-02T22:25:49.908733
16,化学,Grade 9,走进化学世界,1,物质的变化,区分物理变化和化学变化，理解化学变化的本质特征是产生新物质,2,4,0.75,能够正确区分物理变化和化学变化，理解化学变化的本质,不能正确区分两种变化，忽略伴随现象与本质区别,判断标准：是否有新物质生成,物理变化|化学变化|新物质|本质特征,2025-09-02T22:25:49.908733
17,化学,Grade 9,走进化学世界,1,化学实验安全,掌握化学实验的基本安全规则和操作注意事项,1,5,0.6,熟悉实验室安全规则，能够安全进行化学实验,忽视安全操作规程，不正确使用实验器材,安全第一，严格按照实验步骤操作,实验安全|操作规程|防护措施|应急处理,2025-09-02T22:25:49.908733
25,数学,Grade 7,有理数,0,正数和负数,理解正数和负数的概念，掌握正负数的表示方法,1,3,0.0,,,,正数|负数|数轴|相反数,2025-09-02T22:25:49.910741
28,数学,Grade 7,整式的加减,0,单项式,理解单项式的概念，掌握单项式的系数和次数,2,3,0.0,,,,单项式|系数|次数|字母,2025-09-02T22:25:49.910741
29,数学,Grade 7,整式的加减,0,多项式,理解多项式的概念，掌握多项式的项数和次数,2,3,0.0,,,,多项式|项|次数|常数项,2025-09-02T22:25:49.910741
30,语文,Grade 7,现代文阅读,0,记叙文阅读,理解记叙文的特点，掌握记叙文的阅读方法,2,4,0.0,,,,记叙文|时间|地点|人物|事件,2025-09-02T22:25:49.910741
31,语文,Grade 7,现代文阅读,0,说明文阅读,理解说明文的特点，掌握说明文的阅读方法,2,4,0.0,,,,说明文|说明对象|说明方法|说明顺序,2025-09-02T22:25:49.910741
36,化学,Grade 9,物质的变化,0,物理变化,理解物理变化的概念和特征,1,3,0.0,,,,物理变化|状态变化|形状变化|分子不变,2025-09-02T22:25:49.910741
37,化学,Grade 9,物质的变化,0,化学变化,理解化学变化的概念和特征,2,4,0.0,,,,化学变化|新物质|分子变化|化学反应,2025-09-02T22:25:49.910741
38,生物,Grade 7,细胞,0,细胞的基本结构,了解细胞的基本结构和功能,2,4,0.0,,,,细胞|细胞膜|细胞质|细胞核,2025-09-02T22:25:49.910741
39,生物,Grade 7,细胞,0,细胞分裂,理解细胞分裂的过程和意义,3,4,0.0,,,,细胞分裂|有丝分裂|无丝分裂|生长,2025-09-02T22:25:49.910741
40,历史,Grade 7,中国古代史,0,夏商周,了解夏商周三个朝代的基本情况,2,3,0.0,,,,夏朝|商朝|周朝|青铜器|甲骨文,2025-09-02T22:25:49.910741
